,lemme,phon,cgram,freqlemfilms2,freqlemlivres
834,vin,v5,NOM,86.86,110.47
835,exact,Egzakt,ADJ,86.8,38.58
836,virer,viRe,VER,86.3,37.84
837,supporter,sypoRte,VER,86.04,81.22
838,régler,Regle,VER,85.81,54.19
839,doigt,dwa,NOM,85.69,256.15
841,étrange,etR@Z,ADJ,85.61,103.58
842,souhaiter,swete,VER,85.59,82.16
843,bas,ba,ADJ,85.56,187.09
844,mission,misj§,NOM,85.24,48.45
845,créer,kRee,VER,85.17,54.8
846,pote,pOt,NOM,84.92,36.35
847,chanson,S@s§,NOM,84.92,46.55
848,surveiller,syRveje,VER,84.82,54.39
850,recommencer,R°kom@se,VER,84.69,83.31
851,robe,ROb,NOM,84.43,148.18
852,chaud,So,ADJ,84.16,113.31
853,billet,bijE,NOM,83.87,63.58
